age_rating,film_length,meta_Data,name,occurrence,plot,rating,release_year
PG-13,1h 42m,,Chungking Express,,"Two melancholic Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.",8.0,1994
R,2h 31m,,The Departed,,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,8.5,2006
R,1h 58m,,Pan's Labyrinth,,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",8.2,2006
R,2h 23m,,Blood Diamond,,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",8.0,2006
R,2h 10m,,City of God,,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",8.6,2002
G,1h 40m,,Finding Nemo,,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",8.2,2003
R,2h 2m,,No Country for Old Men,,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,8.2,2007
PG-13,2h 24m,,Cinderella Man,,"The true story of James J. Braddock, a supposedly washed-up boxer, who returned to the spotlight to win the heavyweight championship of the world.",8.0,2005
R,2h 12m,,V for Vendetta,,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",8.1,2005
R,2h 38m,,There Will Be Blood,,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",8.2,2007
R,1h 53m,,Donnie Darko,,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",8.0,2001
R,2h 4m,,Sin City,,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",8.0,2005
R,2h 18m,,Mystic River,,"The tragic murder of a 19-year-old girl reunites three childhood friends still living in Boston--the victim's gangster father, a detective, and the disturbed man they both suspect of killing her.",7.9,2003
R,1h 57m,,300,,"In the ancient battle of Thermopylae, King Leonidas and 300 Spartans fight against Xerxes and his massive Persian army.",7.6,2006
R,1h 54m,,Let the Right One In,,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",7.8,2008
R,2h 44m,,Munich,,"After the Black September capture and massacre of Israeli athletes at the 1972 Olympics, five men are chosen to eliminate the people responsible for that fateful day.",7.5,2005
PG,1h 36m,,Up,,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",8.3,2009
PG-13,2h 59m,,The Lord of the Rings: The Two Towers,,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",8.8,2002
PG-13,2h 10m,,The Prestige,,Rival 19th-century magicians engage in a bitter battle for trade secrets.,8.5,2006
G,1h 38m,,WALL·E,,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",8.4,2008
